
28.01.2017  10:30 | 0SB002601002 | Included cabels:[576970011, MSB157601100C]
28.01.2017  11:15 | 0SB002601002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  08:08 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  08:08 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  10:22 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  10:30 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  10:36 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  11:21 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  11:23 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  11:24 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  11:26 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  11:33 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  16:11 | 0SB002600002 | Included cabels:[576970011, MSB157601100C]
29.01.2017  16:16 | 0SB002600002 | Included cabels:[[Ljava.lang.String;@11ac0df, [Ljava.lang.String;@16c7d59, [Ljava.lang.String;@1997454, [Ljava.lang.String;@1a467d4, [Ljava.lang.String;@9cba32, [Ljava.lang.String;@18450f0]
29.01.2017  16:19 | 0SB002600002 | Included cabels:[[576970011, MSB157601100C], [576970050A, MSB1576050A0B], [576970050D, MSB1576050D0A], [576970098, MSB157609800B], [576970098A, MSB1576098A0A], [576970102, MSB157610200B]]
29.01.2017  20:11 | 0SB002600002 | Included cabels:[[576970011, MSB157601100C], [576970050A, MSB1576050A0B], [576970050D, MSB1576050D0A], [576970098, MSB157609800B], [576970098A, MSB1576098A0A], [576970102, MSB157610200B]]
29.01.2017  20:20 | 0SB002600002 | Included cabels:[[576970011, MSB157601100C], [576970050A, MSB1576050A0B], [576970050D, MSB1576050D0A], [576970098, MSB157609800B], [576970098A, MSB1576098A0A], [576970102, MSB157610200B]]
29.01.2017  20:31 | 0SB002600002 | Included cabels:[[576970011, MSB157601100C], [576970050A, MSB1576050A0B], [576970050D, MSB1576050D0A], [576970098, MSB157609800B], [576970098A, MSB1576098A0A], [576970102, MSB157610200B]]
30.01.2017  06:29 | 0SB002600002 | Included cabels:[[576970011, MSB157601100C], [576970050A, MSB1576050A0B], [576970050D, MSB1576050D0A], [576970098, MSB157609800B], [576970098A, MSB1576098A0A], [576970102, MSB157610200B]]
